StationTime,Attractiveness,Closeness Centrality,Degree Centerality,Betweenness Centrality
14161,2.85175701,230.2034777,1,162
14162,3.53241721,229.3458233,1,162
14163,3.58771638,228.8929215,1,162
14164,10.09278561,228.0623509,2,169
14165,12.36397237,227.5853747,3,240
14166,12.36397237,227.228771,3,240
14167,16.26925479,226.4824612,2,233
14168,4.20602632,224.7295359,1,162
14169,4.20602632,224.4120533,1,162
14171,4.20602632,224.1848501,1,162
14172,6.01908685,224.1156359,2,218
14174,6.3414241,224.044917,2,218
14175,7.67807006,224.0614682,2,218
14176,18.68626607,224.1382057,1,162
14177,38.05743101,224.2886714,1,162
14178,51.89679317,224.5068467,4,618
14179,68.72682862,224.7701616,4,618
14180,92.70921634,225.277231,7,798
14181,68.72682862,224.7250219,4,618
14182,51.89679317,224.4632116,3,572
14183,38.05743101,224.251055,1,162
14184,18.68626607,224.1096172,1,162
14185,7.67807006,224.0539449,2,218
14189,4.20602632,224.4376325,1,162
14190,9.02965881,236.9759384,2,248
14191,5.9177573,234.4812173,1,186
14192,5.9177573,234.0162783,1,186
14193,5.9177573,233.4761064,1,186
14194,3.77570689,232.6650964,1,186
14195,3.77570689,232.2753902,1,186
14196,3.77570689,231.8405444,1,186
14197,3.61029758,231.5275758,1,162
14198,3.61029758,232.1550177,1,162
14199,3.61029758,232.728292,1,162
14200,3.61029758,233.1601285,1,162
14201,4.94561202,233.9666246,2,224
14202,5.3542099,235.5028793,2,224
14203,6.94858368,236.4553271,1,162
14204,6.94858368,237.0887877,1,162
14205,6.94858368,237.6605573,1,162
14206,9.91351656,238.7544429,2,224
14207,9.91351656,240.8504299,2,224
14208,10.60600212,241.9006804,1,162
14209,10.60600212,242.525113,1,162
14210,10.60600212,244.0448165,1,162
14211,8.40930349,246.1874479,2,340
14212,6.70520923,246.0670754,2,340
14213,8.7218133,246.5831727,3,399
14214,15.80186841,249.9084644,3,353
14215,16.92613103,251.3348792,3,353
14216,20.02810124,254.3306511,8,422
14233,34.97226554,228.0879301,5,651
14234,31.67670253,227.5959073,5,683
14235,30.60457082,227.0903426,4,642
14236,26.83970378,226.8541114,4,642
14237,26.39057884,226.509545,1,186
14238,13.96574615,226.0641666,2,242
14239,13.96574615,225.9889337,2,242
14240,13.96574615,225.9799058,2,242
14241,13.96574615,225.9814104,2,242
14242,10.95671386,225.9979617,1,186
14243,12.16967182,226.0431014,1,186
14244,12.16967182,226.149932,1,186
14245,12.16967182,226.3801445,1,186
14247,10.98969532,226.6810759,2,233
14248,10.98969532,226.8917279,2,233
14249,10.98969532,227.2122198,2,233
14250,15.70591568,227.5582909,1,186
14251,26.14251421,227.9209132,2,257
14253,17.09894828,228.8538005,3,264
14255,10.18218145,229.9747698,1,186
14257,4.09838925,230.7286029,1,186
14258,3.77570689,231.1935419,1,186
14259,3.77570689,232.267867,1,186
14260,3.77570689,232.6350032,1,186
14261,5.9177573,233.2127915,1,186
14262,5.9177573,233.8959057,1,186
14263,5.9177573,234.4405915,1,186
14264,7.49516168,235.4035719,2,248
14265,8.53557032,237.5687732,1,186
14266,8.53557032,238.7950686,1,186
14267,8.53557032,239.6136019,1,186
14268,8.71991807,240.1281946,2,248
14269,8.71991807,240.6668618,2,248
14270,8.71991807,241.599749,2,217
14271,11.90396178,241.8916525,2,217
14275,21.01247324,270.8487745,2,221
14277,37.9159422,267.8138816,1,70
14295,16.31675534,251.4116167,3,318
14296,18.92800622,252.2316547,5,411
14297,20.1859606,254.9445511,8,664
14298,20.02810124,254.1320364,8,422
14299,12.37927306,242.5416643,1,124
14300,12.58242151,243.0397057,2,241
14301,9.15898388,249.007175,2,295
14302,9.15898388,248.7604112,2,295
14309,12.37927306,242.2918912,1,124
14310,11.90396178,241.7697753,2,217
14311,8.71991807,241.191987,2,248
14312,8.71991807,240.5856103,2,248
14313,8.53557032,239.8122167,1,186
14314,8.53557032,239.0087299,1,186
14315,8.53557032,238.3481855,1,186
14316,20.1859606,254.9746442,8,664
14317,18.92800622,252.5085116,7,529
14318,14.51266596,251.5229613,3,318
14319,15.80186841,248.43691,2,318
14320,8.7218133,247.4047154,3,399
14321,9.4300475,246.1347849,3,410
14323,8.40930349,246.2491389,2,259
14324,8.08084318,245.0589553,2,251
14325,8.74149986,244.4254947,1,162
14326,10.60600212,243.6235126,1,162
14327,10.60600212,243.0397057,1,162
14328,10.60600212,242.424301,1,162
14329,9.14303475,241.7487101,2,224
14330,9.14303475,241.0339981,2,224
14331,9.91351656,239.4601269,2,224
14332,9.91351656,238.7168264,2,224
14333,6.94858368,238.1751499,1,162
14334,6.94858368,237.3656445,1,162
14335,6.94858368,236.5726903,1,162
14340,16.20796964,223.6175944,1,112
14344,11.58981193,232.8832716,2,206
14347,18.73716827,231.8450584,2,184
14349,9.06505467,246.9277391,2,294
14350,9.06505467,244.1290773,2,294
14352,13.39653855,241.5711606,1,232
14354,14.90088637,240.4231074,3,411
14355,14.80654321,238.995188,3,411
14356,12.24781766,237.9238722,3,411
14357,11.32213113,236.8826497,2,349
14359,4.1123342,235.1222011,2,349
14360,4.1123342,234.3277423,2,350
14362,4.1123342,232.9810743,2,350
14363,13.78118481,232.1249246,2,350
14364,31.37567123,230.9858993,3,357
14365,37.38486516,230.4156343,3,312
14366,40.83167868,229.697913,3,312
14367,43.47145265,229.1156108,2,305
14368,23.12761371,228.8853982,1,234
14369,13.88042879,228.4625897,2,281
14375,6.3414241,224.0057959,2,193
14376,8.49172615,224.3578856,4,332
14377,8.49172615,224.6753682,4,332
14378,10.16946305,225.3133428,4,344
14380,12.31376371,226.6855899,3,322
14381,11.75214319,227.4048159,2,229
14382,10.9966537,228.3331892,4,534
14384,6.39743163,231.2477096,3,222
14385,3.93192963,231.1965512,1,94
14386,4.56254142,231.1830093,1,94
14387,4.97484756,231.2100932,1,94
14388,5.54058199,231.285326,1,94
14389,5.54058199,231.3545402,1,94
14390,5.82376502,231.4372963,1,94
14391,6.56026628,231.5802388,1,94
14392,6.56026628,231.7337138,1,94
14397,5.06321085,233.956092,1,144
14403,5.97815837,235.9933974,2,214
14404,5.74276826,234.7791393,2,214
14405,6.45287952,233.7258795,2,214
14406,6.67918047,232.9329253,1,142
